code_zoo,etat
zoo1/1g,Sans traduction anglaise
zoo10/1e,Partiel
zoo10/1g,Partiel (94%)
zoo11/1e,Complet
zoo11/1l,Complet
zoo12/1e,Partiel
zoo12/1g,Partiel (76%)
zoo13/1e,Complet
zoo13/1g,Complet
zoo13/2e,Partiel
zoo14/1e,Partiel
zoo14/1g,Partiel (14%)
zoo15/1e,Partiel
zoo15/1l,Partiel (25%)
zoo16/1e,Partiel
zoo16/1g,Partiel (19%)
zoo17/1e,Partiel
zoo17/1g,Partiel (30%)
zoo18/1l,Complet
zoo19/1e,Partiel
zoo19/1g,Partiel (45%)
zoo2/1l,Sans traduction anglaise
zoo20/1e,Complet
zoo20/1l_2,Complet
zoo21/1e,Partiel
zoo21/1g,Partiel (36%)
zoo22/1g,Complet
zoo23/1g,Sans traduction anglaise
zoo24/1e,Partiel
zoo24/1g,Partiel (94%)
zoo24/2e,IA non relue
zoo24/2g,Partiel (100%)
zoo24/3e,Complet
zoo24/3g,Complet
zoo25/1e,IA non relue
zoo25/1l,Partiel (38%)
zoo26/1e,Complet
zoo26/2e,Complet
zoo26/2g,Complet
zoo27/1e,Partiel
zoo27/1l_5,Partiel
zoo27/2e,Complet
zoo27/2l,Complet
zoo28/1e,Partiel
zoo28/1g,Partiel
zoo28/2e,Partiel
zoo28/2g,Partiel
zoo29/1e,Partiel
zoo29/1g,Partiel
zoo3/1l,Sans traduction anglaise
zoo30/1e,Complet
zoo30/1g,Complet
zoo31/1l,Partiel (50%)
zoo31/3l,Complet
zoo31/4l,Complet
zoo31/8l,Partiel (78%)
zoo32/1e,Complet
zoo32/1l,Complet
zoo4/2e,Complet
zoo4/2g,Complet
zoo42/1e,Complet
zoo42/1g,Complet
zoo43/1e,Partiel
zoo43/1l,Partiel (16%)
zoo44/1e,Complet
zoo44/1g,Complet
zoo44/2e,Complet
zoo44/2g,Complet
zoo44/3e,Partiel
zoo44/3g,Partiel (97%)
zoo44/4e,Complet
zoo44/4g,Complet
zoo44/5e,Complet
zoo45/1e,Partiel
zoo45/1g,Partiel (93%)
zoo46/3e,IA non relue
zoo46/3g,Partiel (63%)
zoo46/4e,IA non relue
zoo46/4g,Partiel (56%)
zoo47/1e,IA non relue
zoo47/1g_2,Partiel (3%)
