code_zoo,etat
zoo48/1e,Complet
zoo48/1g,Complet
zoo49/1e,IA non relue
zoo49/1g,Partiel (95%)
zoo5/1e,Complet
zoo5/1g,Complet
zoo50/1g,Partiel (35%)
zoo51/2g,Sans traduction anglaise
zoo52/1e,Partiel
zoo52/1g,Partiel (96%)
zoo54/1g_2,Sans traduction anglaise
zoo54/1g_3,Sans traduction anglaise
zoo55/1e,Complet
zoo55/1l,Complet
zoo57/1g,Partiel (100%)
zoo57/2e,Complet
zoo57/2g,Complet
zoo57/3e,Complet
zoo57/3g,Complet
zoo57/4e,Complet
zoo57/4g,Complet
zoo57/5e,Complet
zoo57/5g,Complet
zoo57/6e,Complet
zoo57/6g,Complet
zoo57/7e,Partiel
zoo57/7g,Partiel (99%)
zoo57/8e,Complet
zoo57/8g,Complet
zoo58/1e,IA non relue
zoo58/1l,Partiel (100%)
zoo6/1g,Sans traduction anglaise
zoo60/1e,IA non relue
zoo60/1l,Partiel (58%)
zoo61/1e,IA non relue
zoo61/1l,Partiel (1%)
zoo62/1e,Complet
zoo62/1l,Complet
zoo63/1e,IA non relue
zoo63/1l,Partiel (99%)
zoo64/1e,IA non relue
zoo64/1l,Partiel (100%)
zoo65/1e,IA non relue
zoo65/1l,Partiel (97%)
zoo66/1e,IA non relue
zoo66/1l,Partiel (37%)
zoo66/2e,IA non relue
zoo66/2l,Partiel (100%)
zoo68/1e,IA non relue
zoo68/1l,Partiel (21%)
zoo69/1g,Complet
zoo69/2g,Complet
zoo69/3g,Complet
zoo69/4g,Complet
zoo7/10e,Partiel
zoo7/10g,Partiel (37%)
zoo7/12e,Complet
zoo7/12g,Complet
zoo7/13e,Partiel
zoo7/13g,Partiel (88%)
zoo7/14e,Complet
zoo7/14g,Complet
zoo7/1e,Partiel
zoo7/1g,Partiel (73%)
zoo7/2e,Complet
zoo7/2g,Complet
zoo7/3e,Complet
zoo7/3g,Complet
zoo7/4e,Complet
zoo7/4g,Complet
zoo7/5g,Partiel (8%)
zoo7/6g,Partiel (100%)
zoo7/7g,Partiel (100%)
zoo7/8e,Partiel
zoo7/8g,Partiel (78%)
zoo7/9e,Complet
zoo7/9g,Complet
zoo70/1e,IA non relue
zoo70/1g,Partiel (30%)
zoo75/1e,IA non relue
zoo75/1l,Partiel (99%)
zoo75/1l_2,Partiel (87%)
zoo77/1e,IA non relue
zoo77/1l,Partiel (80%)
zoo79/1e,Partiel
zoo79/1l,Partiel (96%)
zoo8/1e,Partiel
zoo8/1g,Partiel (64%)
zoo80/1e,IA non relue
zoo80/1g,Partiel (69%)
zoo80/2e,IA non relue
zoo80/2g,Partiel (65%)
zoo80/3e,IA non relue
zoo80/3g,Partiel (59%)
zoo80/4e,IA non relue
zoo80/4g,Partiel (34%)
zoo81/1e,IA non relue
zoo81/1g,Partiel (1%)
zoo82/1e,IA non relue
zoo82/1g,Partiel (11%)
zoo83/1e,IA non relue
zoo83/1l,Partiel (100%)
zoo84/1e,IA non relue
zoo84/1l,Partiel (100%)
zoo9/1e,Partiel
zoo9/1g,Partiel (37%)
zoo86/1g,Complet
zoo86/1e,Complet
zoo89/1g,Complet
zoo89/1e,Complet
zoo18/1e,Complet
zoo22/1e_3,Complet
zoo26/1g_3,Complet
zoo31/3e,Complet
zoo31/4e,Complet
zoo44/5g_3,Complet
zoo69/1e_3,Complet
zoo69/2e_3,Complet
zoo69/3e_3,Complet
zoo69/4e_3,Complet
zoo31/2l_16,Complet
zoo31/5l_5,Partiel (78%)
