id,auteur_id,titre_original,titre_francais,titre_anglais,langue_originale,dans_classeur_lea,original_sur_git,traduction_anglaise_sur_git,traduction_francaise_sur_git,traduction_italienne_sur_git,note
22,9,Ὀνειροκριτικά,L'interprétation des songes,The Interpretation of Dreams,grec,Oui,Oui,Oui,Non,Non,"VERIFICATION STRUCTURELLE (07/2026) : traduction anglaise ajoutee (Robert Wood, 1755, Internet Archive, domaine public). Texte source nettoye (index alphabetique de fin retire, caracteres 's long' corriges). Encodage TEI valide sans erreur XML (corrige suite a l'amelioration de zoomathia_encoder.py -- validation et nouvelle tentative automatique par morceau -- puis 2 corrections manuelles ciblees sur fragments OCR illisibles). Verification de contenu manuelle standard recommandee, comme pour tout encodage automatique. VERIFICATION DE CONFORMITE (07/2026, apres structuration complete du corpus) : ecart structurel avec l'original confirme (402 div/19 l/1412 lb cote grec vs 185 div/0 l cote traduction). Contrairement a Semonide/Phedre, l'oeuvre est majoritairement en PROSE (traite d'interpretation des reves), pas un poeme. L'ecart vient de 19 vers de citations poetiques (Homere, Iliade, citees par Artemidore pour illustrer une interpretation) que l'original balise en <l> mais que la traduction de 1755 rend en prose continue, fondue dans le texte -- ecart mineur et localise (19 vers sur un texte de 402 divisions), pas une non-conformite generale."
23,10,Δειπνοσοφισταί,Les déipnosophistes,The deipnosophists,grec,Oui,Oui,Oui,Non,Non,
24,11,Fabulae,Fables,Fables,latin,Oui,Non,Non,Non,Non,
25,12,Μυθίαμβοι Αἰσώπειοι,Fables,Fables,grec,Oui,Oui,Oui,Non,Non,
26,13,Ὁμιλίαι εἰς τὴν Ἑξαήμερον,Homélies sur l'Hexaéméron,Homilies on the Hexaemeron,grec,Oui,Oui,Oui,Non,Non,
27,14,Γεωπονικά,Géoponiques,Geoponica,latin,Oui,Non,Non,Non,Non,
28,15,De re rustica,On agriculture,On agriculture,latin,Oui,Non,Non,Non,Non,
29,16,Βιβλιοθήκη ἱστορική,Bibliothèque historique,Historical library,grec,Oui,Oui,Oui,Non,Non,
30,17,Μῦθοι,Fables,Fables,grec,Oui,Oui,Oui,Non,Non,
31,18,Formulae spiritalis intellegentiae,Formulae spiritalis intellegentiae,Formulae spiritalis intellegentiae,latin,Oui,Non,Non,Non,Non,
32,19,Περὶ φυσικῶν δυνάμεων,Sur les facultés naturelles,On the naturals faculties,grec,Oui,Oui,Oui,Non,Non,
