id,oeuvre_id,nom_fichier,format,langue,statut,source
1,25,tlg0614.tlg001.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
2,70,2_eng_p5.xml,TEI P5,anglais,Disponible,CLTK greek_text_perseus
3,70,2_gk_p5.xml,TEI P5,grec,Disponible,CLTK greek_text_perseus
4,47,phi0975.phi001.perseus-eng1_p5.xml,TEI P5,anglais,Obsolete - remplacee par phaedrus_fables_eng_tei.xml,Perseus Digital Library
5,47,phi0975.phi001.perseus-lat1-p5.xml,TEI P5,latin,Disponible,Perseus Digital Library
10,35,tlg0020.tlg002.perseus-grc2.xml,TEI P5,grec,Disponible,Perseus Digital Library
11,83,tlg0022.tlg002.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
12,43,tlg0022.tlg001.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
73,61,Perseus_text_1999.02.0138_p5.xml,TEI P5,latin,Disponible,Perseus Digital Library
75,1,tlg0545.tlg001.perseus-grc1_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
77,67,tlg2034.tlg003.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
78,44,tlg0023.tlg001.perseus-grc1_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
85,79,tlg0032.tlg003.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
88,22,tlg0553.tlg001.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
89,37,tlg0627.tlg005.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
90,60,tlg0059.tlg031.perseus-eng2.xml,TEI P5,anglais,Disponible,Perseus Digital Library
91,60,tlg0059.tlg031.perseus-grc2.xml,TEI P5,grec,Disponible,Perseus Digital Library
92,32,tlg0057.tlg010.perseus-grc1_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
122,74,tlg0093.tlg010x03.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
126,30,tlg0096.tlg002.First1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
133,39,tlg0062.tlg054.perseus-grc1_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
134,45,tlg0024.tlg001.perseus-grc1_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
135,23,tlg0008.tlg001.perseus-grc4_annotated.xml,TEI P5,grec,Disponible,Perseus Digital Library
136,28,phi0845.phi002.perseus-lat1_p5.xml,TEI P5,latin,Disponible,Perseus Digital Library
137,28,phi0845.phi002.perseus-lat2_p5.xml,TEI P5,latin,Disponible,Perseus Digital Library
141,62,tlg0007.tlg098.perseus-grc1_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
132,40,tlg0062.tlg027.perseus-grc2.xml,TEI P5,grec,Disponible,Perseus Digital Library
9,34,tlg0016.tlg001.perseus-grc2_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
80,41,nemesianus1_tei.xml,TEI P5,latin,Disponible,The Latin Library
81,41,nemesianus2_tei.xml,TEI P5,latin,Disponible,The Latin Library
82,41,nemesianus3_tei.xml,TEI P5,latin,Disponible,The Latin Library
83,41,nemesianus4_tei.xml,TEI P5,latin,Disponible,The Latin Library
6,77,varro.rr1_tei.xml,TEI P5,latin,Disponible,The Latin Library
7,77,varro.rr2_tei.xml,TEI P5,latin,Disponible,The Latin Library
8,77,varro.rr3_tei.xml,TEI P5,latin,Disponible,The Latin Library
48,129,ovid.met1_tei.xml,TEI P5,latin,Disponible,The Latin Library
55,129,ovid.met2_tei.xml,TEI P5,latin,Disponible,The Latin Library
56,129,ovid.met3_tei.xml,TEI P5,latin,Disponible,The Latin Library
57,129,ovid.met4_tei.xml,TEI P5,latin,Disponible,The Latin Library
58,129,ovid.met5_tei.xml,TEI P5,latin,Disponible,The Latin Library
59,129,ovid.met6_tei.xml,TEI P5,latin,Disponible,The Latin Library
60,129,ovid.met7_tei.xml,TEI P5,latin,Disponible,The Latin Library
61,129,ovid.met8_tei.xml,TEI P5,latin,Disponible,The Latin Library
62,129,ovid.met9_tei.xml,TEI P5,latin,Disponible,The Latin Library
49,129,ovid.met10_tei.xml,TEI P5,latin,Disponible,The Latin Library
50,129,ovid.met11_tei.xml,TEI P5,latin,Disponible,The Latin Library
51,129,ovid.met12_tei.xml,TEI P5,latin,Disponible,The Latin Library
52,129,ovid.met13_tei.xml,TEI P5,latin,Disponible,The Latin Library
53,129,ovid.met14_tei.xml,TEI P5,latin,Disponible,The Latin Library
54,129,ovid.met15_tei.xml,TEI P5,latin,Disponible,The Latin Library
20,130,ovid.fasti1_tei.xml,TEI P5,latin,Disponible,The Latin Library
21,130,ovid.fasti2_tei.xml,TEI P5,latin,Disponible,The Latin Library
22,130,ovid.fasti3_tei.xml,TEI P5,latin,Disponible,The Latin Library
23,130,ovid.fasti4_tei.xml,TEI P5,latin,Disponible,The Latin Library
24,130,ovid.fasti5_tei.xml,TEI P5,latin,Disponible,The Latin Library
25,130,ovid.fasti6_tei.xml,TEI P5,latin,Disponible,The Latin Library
79,24,avianus_tei.xml,TEI P5,latin,Disponible,The Latin Library
74,31,eucherius_tei.xml,TEI P5,latin,Disponible,The Latin Library
76,33,grattius_tei.xml,TEI P5,latin,Disponible,The Latin Library
96,38,12_tei.xml,TEI P5,latin,Disponible,The Latin Library
131,40,tlg0062.tlg027.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
13,71,tlg0099.tlg001.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
123,29,tlg0060.tlg001.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
