title,div,index_paragraph,index_annotation,mention,mention_without_space,concept,start,end,annotation_lang,score,category
Onirocriticon,1,1.1,1.1.0_it,dice,dice,http://it.dbpedia.org/resource/Digital_Illusions_Creative_Entertainment,352,355,it,1.0,
Onirocriticon,1,1.1,1.1.1_it,modesto,modesto,http://it.dbpedia.org/resource/Modesto_e_Crescenzia,1917,1921,it,0.9999999999572537,
Onirocriticon,1,1.1,1.1.2_it,Asia,Asia,http://it.dbpedia.org/resource/Asia,2095,2099,it,0.9712990552141391,
Onirocriticon,1,1.1,1.1.3_it,Italia,Italia,http://it.dbpedia.org/resource/Italia,2107,2111,it,0.999999079622026,
Onirocriticon,1,1.1,1.1.4_it,chiaramente,chiaramente,http://it.dbpedia.org/resource/ChiARAMente,2441,2445,it,0.9999991050573865,
Onirocriticon,1,1.1,1.1.0_en,fortune-telling,fortune-telling,http://dbpedia.org/resource/Fortune-telling,301,304,en,1.0,
Onirocriticon,1,1.1,1.1.1_en,divine providence,divine_providence,http://dbpedia.org/resource/Divine_providence,320,323,en,1.0,
Onirocriticon,1,1.1,1.1.2_en,fortune-telling,fortune-telling,http://dbpedia.org/resource/Fortune-telling,1007,1011,en,1.0,
Onirocriticon,1,1.1,1.1.3_en,antiquity,antiquity,http://dbpedia.org/resource/Ancient_Greece,1650,1654,en,0.9444448881792883,
Onirocriticon,1,1.1,1.1.4_en,Greece,Greece,http://dbpedia.org/resource/Ancient_Greece,2043,2047,en,0.9999990181809425,
Onirocriticon,1,1.1,1.1.5_en,city,city,http://dbpedia.org/resource/City,2053,2057,en,0.9989039022512489,
Onirocriticon,1,1.1,1.1.6_en,Italy,Italy,http://dbpedia.org/resource/Kingdom_of_Italy,2093,2097,en,0.9477822669280949,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country"
Onirocriticon,1,1.1,1.1.7_en,gymnasium,gymnasium,http://dbpedia.org/resource/Gym,2245,2249,en,0.9862365476820997,
Onirocriticon,1,1.3,1.3.0_it,chiaramente,chiaramente,http://it.dbpedia.org/resource/ChiARAMente,373,376,it,0.9999553968111661,
Onirocriticon,1,1.3,1.3.1_it,soffocare,soffocare,http://it.dbpedia.org/resource/Soffocare,672,675,it,0.9999643191749078,
Onirocriticon,1,1.3,1.3.2_it,i medici,i_medici,http://it.dbpedia.org/resource/I_Medici_(serie_televisiva),1091,1095,it,0.9957241993453986,
Onirocriticon,1,1.3,1.3.3_it,India,India,http://it.dbpedia.org/resource/India,1324,1328,it,0.9999944843777709,
Onirocriticon,1,1.3,1.3.4_it,anime,anime,http://it.dbpedia.org/resource/Anima,1370,1374,it,0.9991294179493466,
Onirocriticon,1,1.3,1.3.0_en,soul,soul,http://dbpedia.org/resource/Soul,483,486,en,0.9983699442053066,
Onirocriticon,1,1.3,1.3.1_en,memory,memory,http://dbpedia.org/resource/Memory,856,859,en,0.9994045104849479,
Onirocriticon,1,1.3,1.3.2_en,soul,soul,http://dbpedia.org/resource/Soul,962,965,en,0.9983699442053066,
Onirocriticon,1,1.3,1.3.3_en,soul,soul,http://dbpedia.org/resource/Soul,996,999,en,0.9983699442053066,
Onirocriticon,1,1.3,1.3.4_en,soul,soul,http://dbpedia.org/resource/Soul,1116,1120,en,0.9983699442053066,
Onirocriticon,1,1.3,1.3.5_en,soul,soul,http://dbpedia.org/resource/Soul,1190,1194,en,0.9983699442053066,
Onirocriticon,1,1.3,1.3.6_en,India,India,http://dbpedia.org/resource/India,1287,1291,en,0.610466447773361,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country"
Onirocriticon,1,1.4,1.4.0_it,dice,dice,http://it.dbpedia.org/resource/Digital_Illusions_Creative_Entertainment,453,456,it,0.9999916456594024,
Onirocriticon,1,1.4,1.4.0_en,soul,soul,http://dbpedia.org/resource/Soul,373,376,en,0.9197590514060792,
Onirocriticon,1,1.4,1.4.1_en,kion,kion,http://dbpedia.org/resource/KION-TV,569,572,en,0.999954999710488,"Wikidata:Q43229,Wikidata:Q24229398,Wikidata:Q15265344,DUL:SocialPerson,DUL:Agent,Schema:TelevisionStation,Schema:Organization,DBpedia:Organisation,DBpedia:Broadcaster,DBpedia:Agent,DBpedia:TelevisionStation"
Onirocriticon,1,1.5,1.5.0_en,soul,soul,http://dbpedia.org/resource/Soul,710,713,en,0.935359838526042,
Onirocriticon,1,1.7,1.7.0_it,ge,ge,http://it.dbpedia.org/resource/Genova,1364,1368,it,0.9916788126393861,
Onirocriticon,1,1.7,1.7.0_en,soul,soul,http://dbpedia.org/resource/Soul,57,59,en,0.9999984849843139,
Onirocriticon,1,1.7,1.7.1_en,physics,physics,http://dbpedia.org/resource/Psychokinesis,230,233,en,0.9434347499861587,
Onirocriticon,1,1.7,1.7.2_en,soul,soul,http://dbpedia.org/resource/Soul,242,245,en,0.9999984849843139,
Onirocriticon,1,1.7,1.7.3_en,abbess,abbess,http://dbpedia.org/resource/Abbess,556,559,en,0.9999581999678263,
