fichier,langue,auteur,titre,paragraphes,annotations,concepts,concepts_th310
zoo57/6e,anglais,XENOPHON,Constitution of the Lacedaemonians,128,2300,1229,189
zoo57/6g,grec,XENOPHON,Constitution of the Lacedaemonians,120,2306,1178,182
zoo57/8e,anglais,XENOPHON,Ways and Means,102,1609,924,150
zoo57/8g,grec,XENOPHON,Ways and Means,97,1609,879,146
zoo62/1e,anglais,IOHANNES_DE_CUBA,"The Noble Lyfe and Natures of Man, of Bestes, Serpentys, Fowles and Fisshes",660,8160,1888,250
zoo62/1l,latin,IOHANNES_DE_CUBA,Hortus Sanitatis Tractatus de animalibus,177,4139,1231,193
zoo69/1e,anglais,PHILO_ALEXANDRINUS,On the Eternity of the World,150,4260,1848,282
zoo69/1g,grec,PHILO_ALEXANDRINUS,De aeternitate mundi,150,4260,1848,282
zoo69/2e,anglais,PHILO_ALEXANDRINUS,On Husbandry,181,4391,1918,261
zoo69/2g,grec,PHILO_ALEXANDRINUS,De agricultura,181,4391,1918,261
zoo69/3e,anglais,PHILO_ALEXANDRINUS,Concerning Noah's Work as a Planter,177,4079,1754,248
zoo69/3g,grec,PHILO_ALEXANDRINUS,De plantatione,177,4079,1754,248
zoo69/4e,anglais,PHILO_ALEXANDRINUS,On Dreams,558,12342,3561,459
zoo69/4g,grec,PHILO_ALEXANDRINUS,"De somniis, lib. i-ii",558,12342,3561,459
zoo86/1e,anglais,ANONYME_-_Paradoxographus_Vaticanus,Paradoxographus Vaticanus zoological excerpts,9,104,103,36
zoo86/1g,grec,ANONYME_-_Paradoxographus_Vaticanus,Paradoxographus Vaticanus extraits zoologiques,8,94,93,33
zoo89/1e,anglais,PS-ARISTOTELES,On Marvellous Things Heard,111,2936,953,257
zoo89/1g,grec,PS-ARISTOTELES,Περὶ θαυμασίων ἀκουσμάτων,72,1465,950,257
