zoo_id,auteur,periode,fichier,langue,titre
zoo13,BASILIUS,tardo-antique (300 - 700 ap. J.-C.),1e.xml,anglais,Ὁμιλίαι εἰς τὴν Ἑξαήμερον
zoo13,BASILIUS,tardo-antique (300 - 700 ap. J.-C.),1g.xml,grec,Ὁμιλίαι θʹ εἰς τὴν Ἑξαήμερον
zoo14,CASSIANUS BASSUS,tardo-antique (300 - 700 ap. J.-C.),1g.xml,grec,Geoponica
zoo15,COLUMELLA,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,De re rustica
zoo15,COLUMELLA,antique (800 av. J.-C. - 300 ap. J.-C.),1l.xml,latin,"Res Rustica, Books V-IX"
zoo16,DIODORE,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Library
zoo16,DIODORE,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Bibliotheca Historica
zoo17,ESOPUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Μῦθοι
zoo17,ESOPUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Fabulae
zoo18,EUCHERIUS,tardo-antique (300 - 700 ap. J.-C.),1l.xml,latin,Formulae spiritalis intellegentiae
zoo19,GALENUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Περὶ φυσικῶν δυνάμεων
zoo19,GALENUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,On the Natural Faculties.
zoo20,GRATTIUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Cynegetica
zoo20,GRATTIUS,antique (800 av. J.-C. - 300 ap. J.-C.),1l_1.xml,latin,Cynegetica
zoo20,GRATTIUS,antique (800 av. J.-C. - 300 ap. J.-C.),1l_2.xml,latin,Cynegetica
zoo21,HERODOTUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Ἱστορία
zoo21,HERODOTUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,The Histories
zoo22,HESIODUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e_1.xml,anglais,Ἔργα καὶ ἡμέραι
zoo22,HESIODUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Works and Days
zoo23,HIEROCLES,tardo-antique (300 - 700 ap. J.-C.),1g.xml,grec,Ἱππιατρικά (fragments)
zoo24,HIPPOCRATES,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,On Regimen in Acute Diseases
zoo24,HIPPOCRATES,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Acut. sp.
zoo25,ISIDORUS HISPALENSIS,tardo-antique (300 - 700 ap. J.-C.),1l.xml,latin,Etymologiae
zoo26,LUCIANUS SAMOSATENSIS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,The Dipsads
zoo26,LUCIANUS SAMOSATENSIS,antique (800 av. J.-C. - 300 ap. J.-C.),1g_1.xml,grec,Dipsades
zoo26,LUCIANUS SAMOSATENSIS,antique (800 av. J.-C. - 300 ap. J.-C.),2e.xml,anglais,De sacrificiis
zoo26,LUCIANUS SAMOSATENSIS,antique (800 av. J.-C. - 300 ap. J.-C.),2g.xml,grec,De sacrificiis
zoo27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Cynegetica
zoo27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",antique (800 av. J.-C. - 300 ap. J.-C.),1l_3.xml,latin,Cynegetica
zoo27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",antique (800 av. J.-C. - 300 ap. J.-C.),1l_5.xml,latin,Cynegetica ; Versus Platonis ; De VII miraculis mundi ; De generibus nominum
zoo27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",antique (800 av. J.-C. - 300 ap. J.-C.),2e.xml,anglais,De Aucupio
zoo27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",antique (800 av. J.-C. - 300 ap. J.-C.),2l.xml,latin,De Aucupio
zoo27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",antique (800 av. J.-C. - 300 ap. J.-C.),3l.xml,latin,Eclogae
zoo28,NICANDER COLOPHONIUS,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Θηριακά
zoo28,NICANDER COLOPHONIUS,antique (800 av. J.-C. - 300 ap. J.-C.),2g.xml,grec,Αλεξιφάρμακα
zoo29,OPPIANUS-1,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Halieutica
zoo29,OPPIANUS-1,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Halieutica
zoo30,OPPIANUS-2,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Κυνηγετικά
zoo30,OPPIANUS-2,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Cynegetica
zoo31,OVIDIUS,antique (800 av. J.-C. - 300 ap. J.-C.),1l.xml,latin,Halieutica
zoo32,PHAEDRUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Fabulae Aesopiae ENG
zoo32,PHAEDRUS,antique (800 av. J.-C. - 300 ap. J.-C.),1l.xml,latin,Fabulae Aesopiae
zoo42,PLATO,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Timaeus
zoo42,PLATO,antique (800 av. J.-C. - 300 ap. J.-C.),1g.xml,grec,Τίμαιος
zoo43,PLINIUS MAJOR,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,Naturalis Historia
