"Identifiant";"Auteur";"Titre";"Langue";"Source";"Taille";"Chemin complet"
"tlg019";"";"tlg0018.tlg019.opp-grc1_translated_extracted";"latin";"OPP";"1680.0 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0018/tlg019/tlg0018.tlg019.opp-grc1_translated_extracted.xml"
"tlg029";"";"tlg0018.tlg029.opp-grc1_translated_extracted";"latin";"OPP";"817.3 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0018/tlg029/tlg0018.tlg029.opp-grc1_translated_extracted.xml"
"tlg010";"";"tlg0018.tlg010.opp-grc1_translated_extracted";"latin";"OPP";"592.1 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0018/tlg010/tlg0018.tlg010.opp-grc1_translated_extracted.xml"
"tlg009";"";"tlg0018.tlg009.opp-grc1_translated_extracted";"latin";"OPP";"661.1 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0018/tlg009/tlg0018.tlg009.opp-grc1_translated_extracted.xml"
"tlg001";"";"tlg0060.tlg001.perseus-grc1_translated_extracted";"latin";"Perseus";"5739.7 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0060/tlg001/tlg0060.tlg001.perseus-grc1_translated_extracted.xml"
"tlg001";"";"tlg0060.tlg001.perseus-grc2_translated_extracted";"latin";"Perseus";"4459.1 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0060/tlg001/tlg0060.tlg001.perseus-grc2_translated_extracted.xml"
"tlg001";"";"tlg0060.tlg001.perseus-grc3_translated_extracted";"latin";"Perseus";"9763.9 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0060/tlg001/tlg0060.tlg001.perseus-grc3_translated_extracted.xml"
"tlg0096";"";"tlg0096.tlg002.First1K-grc1_translated_extracted";"latin";"";"1510.1 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0096/tlg0096.tlg002.First1K-grc1_translated_extracted.xml"
"tlg027";"";"tlg0062.tlg027.perseus-grc1_translated_extracted";"latin";"Perseus";"96.2 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0062/tlg027/tlg0062.tlg027.perseus-grc1_translated_extracted.xml"
"tlg027";"";"tlg0062.tlg027.perseus-grc2_translated_extracted";"latin";"Perseus";"106.6 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0062/tlg027/tlg0062.tlg027.perseus-grc2_translated_extracted.xml"
"tlg054";"";"tlg0062.tlg054.perseus-grc1_translated_extracted";"latin";"Perseus";"37.3 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0062/tlg054/tlg0062.tlg054.perseus-grc1_translated_extracted.xml"
"tlg054";"";"Perseus_text_2008.01.0512_translated_extracted";"latin";"";"41.4 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0062/tlg054/Perseus_text_2008.01.0512_translated_extracted.xml"
"tlg001";"";"tlg0024.tlg001.perseus-grc1_translated_extracted";"latin";"Perseus";"776.0 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0024/tlg001/tlg0024.tlg001.perseus-grc1_translated_extracted.xml"
"phi0845";"";"phi0845.phi002.perseus-lat2_translated_extracted";"latin";"Perseus";"2358.0 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/phi0845/phi0845.phi002.perseus-lat2_translated_extracted.xml"
"phi0845";"";"phi0845.phi002.perseus-lat1_translated_extracted";"latin";"Perseus";"2141.4 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/phi0845/phi0845.phi002.perseus-lat1_translated_extracted.xml"
"tlg132";"";"tlg0007.tlg132.perseus-grc1_translated_extracted";"latin";"Perseus";"57.8 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0007/tlg132/tlg0007.tlg132.perseus-grc1_translated_extracted.xml"
"tlg130";"";"tlg0007.tlg130.perseus-grc1_translated_extracted";"latin";"Perseus";"138.5 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0007/tlg130/tlg0007.tlg130.perseus-grc1_translated_extracted.xml"
"tlg125";"";"tlg0007.tlg125.perseus-grc1_translated_extracted";"latin";"Perseus";"203.4 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0007/tlg125/tlg0007.tlg125.perseus-grc1_translated_extracted.xml"
"tlg098";"";"tlg0007.tlg098.perseus-grc1_translated_extracted";"latin";"Perseus";"137.3 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0007/tlg098/tlg0007.tlg098.perseus-grc1_translated_extracted.xml"
"tlg129";"";"tlg0007.tlg129.perseus-grc1_translated_extracted";"latin";"Perseus";"507.1 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0007/tlg129/tlg0007.tlg129.perseus-grc1_translated_extracted.xml"
"tlg018";"";"tlg0086.tlg018.1st1K-grc1_translated_extracted";"latin";"1st1K";"57.3 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0086/tlg018/tlg0086.tlg018.1st1K-grc1_translated_extracted.xml"
"tlg014";"";"tlg0086.tlg014.1st1K-grc1_translated_extracted";"latin";"1st1K";"3549.0 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0086/tlg014/tlg0086.tlg014.1st1K-grc1_translated_extracted.xml"
"tlg037";"";"tlg0086.tlg037.1st1K-grc1_translated_extracted";"latin";"1st1K";"208.0 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0086/tlg037/tlg0086.tlg037.1st1K-grc1_translated_extracted.xml"
"tlg030";"";"tlg0086.tlg030.1st1K-grc1_translated_extracted";"latin";"1st1K";"1358.9 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0086/tlg030/tlg0086.tlg030.1st1K-grc1_translated_extracted.xml"
"tlg041";"";"tlg0086.tlg041.1st1K-grc1_translated_extracted";"latin";"1st1K";"253.2 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0086/tlg041/tlg0086.tlg041.1st1K-grc1_translated_extracted.xml"
"tlg003";"";"tlg0074.tlg003.perseus-grc1_translated_extracted";"latin";"Perseus";"1050.6 Ko";"./Named_entity_recognition/_old_file/data/extraction_result/tlg0074/tlg003/tlg0074.tlg003.perseus-grc1_translated_extracted.xml"
"tlg0614";"";"tlg0614.tlg001.1st1K-grc1_translated";"latin";"1st1K";"326.6 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0614/tlg0614.tlg001.1st1K-grc1_translated.xml"
"phi0975";"";"phi0975.phi001.perseus-lat1-p5_translated";"latin";"Perseus";"452.7 Ko";"./Named_entity_recognition/_old_file/data/translated_files/phi0975/phi0975.phi001.perseus-lat1-p5_translated.xml"
"tlg001";"";"tlg0016.tlg001.perseus-grc2_translated";"latin";"Perseus";"5392.5 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0016/tlg001/tlg0016.tlg001.perseus-grc2_translated.xml"
"tlg002";"";"tlg0020.tlg002.perseus-grc2_translated";"latin";"Perseus";"226.0 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0020/tlg002/tlg0020.tlg002.perseus-grc2_translated.xml"
"tlg0099";"";"tlg0099.tlg001.perseus-grc1_translated";"latin";"Perseus";"7500.5 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0099/tlg0099.tlg001.perseus-grc1_translated.xml"
"phi0978";"";"phi0978.phi001.perseus-lat2_translated";"latin";"Perseus";"33017.9 Ko";"./Named_entity_recognition/_old_file/data/translated_files/phi0978/phi0978.phi001.perseus-lat2_translated.xml"
"phi0978";"";"Perseus_text_1999.02.0138_translated";"latin";"";"10546.8 Ko";"./Named_entity_recognition/_old_file/data/translated_files/phi0978/Perseus_text_1999.02.0138_translated.xml"
"tlg0545";"";"tlg0545.tlg001.perseus-grc1_translated";"latin";"Perseus";"2640.8 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0545/tlg0545.tlg001.perseus-grc1_translated.xml"
"tlg001";"";"tlg0023.tlg001.perseus-grc1_translated";"latin";"Perseus";"943.3 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0023/tlg001/tlg0023.tlg001.perseus-grc1_translated.xml"
"tlg014";"";"tlg0032.tlg014.perseus-grc1_translated";"latin";"Perseus";"262.3 Ko";"./Named_entity_recognition/_old_file/data/translated_files/tlg0032/tlg014/tlg0032.tlg014.perseus-grc1_translated.xml"
