id,auteur_id,titre_original,titre_francais,titre_anglais,langue_originale,dans_classeur_lea,original_sur_git,traduction_sur_git
60,42,Τίμαιος,Timée,Timaeus,grec,Oui,Oui,Non
61,43,Naturalis Historia,Histoire naturelle,Natural history,latin,Oui,Non,Non
62,44,Περί της εις τα έγγονα φιλοστοργίας,De l’amour de la progéniture,On affection for offsprings,grec,Oui,Oui,Oui
63,44,Αίτια φυσικά,Questions naturelles,Causes of natural phenomena,grec,Oui,Oui,Oui
64,44,Πότερα τῶν ζῴων φρονιμώτερα τὰ χερσαῖα ἢ τὰ ἔνυδρα,L'intelligence des animaux,Whether Land or Sea Animals Are Cleverer,grec,Oui,Oui,Oui
65,44,Περὶ τοῦ τὰ ἄλογα λόγῳ χρῆσθαι,Que les bêtes ont l'usage de la raison,Beasts are rationals,grec,Oui,Oui,Oui
66,44,Περὶ σαρκροφαγίας,Sur la consommation de viande,The eating of flesh,grec,Oui,Oui,Oui
67,45,Περὶ ἀποχῆς τῶν ἐμψύχων,Sur l'abstinence de la chair des animaux,On Abstinence from Animal Food,grec,Oui,Oui,Non
68,46,,,,latin,Oui,Non,Non
69,47,Ἰξευτικά,Ixeuticon,Paraphrases on Bird-catching,grec,Oui,Non,Non
70,48,Iamboi,Iambes,Iambs,grec,Oui,Non,Non
71,49,Γεωγραφικά,Géographie,Geography,grec,Oui,Oui,Non
72,50,,,,grec,Oui,Non,Non
73,51,Hippiatrica,Hippiatrica,Hippiatrica,latin,Oui,Non,Non
74,52,De Signis Tempestatum,On wheather signs,On wheather signs,grec,Oui,Non,Non
75,53,,,,latin,Oui,Non,Non
76,54,Περὶ ζώων,Sur les animaux,On animals,latin,Oui,Non,Non
77,55,De re rustica,L’économie rurale,On agriculture,latin,Oui,Non,Non
78,56,Speculum naturale,Speculum naturale,Speculum naturale,latin,Oui,Oui,Non
79,57,Οἰκονομικός,Économique,Economics,grec,Oui,Oui,Oui
80,57,Ἱππαρχικός,Le commandant de la cavalerie,The Cavalry commander,grec,Oui,Oui,Oui
81,57,περὶ Ἱππικῆς,De l’art équestre,On the Art of Horsemanship,grec,Oui,Oui,Oui
